deg_C,relative_humidity,absolute_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target
21.4,49.7,1.2034,1190.4,832.0,892.8,1549.4,823.7,6.0
27.3,43.7,1.5735,1348.4,1225.0,562.0,2103.2,1698.2,17.7
10.4,50.2,0.6341,942.9,581.4,1513.0,1191.8,635.0,1.7
39.3,18.7,1.3251,1319.8,1319.8,601.4,1961.4,1135.5,19.6
36.0,20.3,1.3743,1208.6,1243.2,606.0,1930.3,1241.6,20.9
12.0,15.4,0.218,715.8,732.3,1193.0,702.0,612.8,3.9
15.0,60.5,1.0693,897.9,670.3,954.8,1231.6,652.9,3.9
22.9,35.3,0.2302,1116.4,373.7,1798.7,626.5,695.9,0.1
17.9,41.3,0.9535,1111.8,940.2,841.8,1634.5,999.4,7.9
9.4,56.6,0.6425,927.2,737.0,976.8,999.1,688.9,4.4
5.6,82.4,0.7657,1298.9,1103.9,605.0,1495.2,1331.8,15.1
10.9,61.4,0.8067,1107.7,823.0,1055.2,1457.9,1075.0,8.1
27.6,52.8,1.835,953.4,750.8,813.8,1669.6,735.3,5.3
11.0,55.4,0.7362,925.4,657.4,1093.7,1343.7,544.4,3.8
27.8,36.8,1.3207,1135.0,1055.8,693.7,1704.3,984.9,10.7
36.9,21.4,1.2093,992.3,1019.7,877.2,1707.7,834.1,9.0
22.8,46.0,1.3033,979.2,984.0,818.9,1753.0,979.4,10.2
17.6,66.8,1.4565,1362.2,1364.9,510.6,2186.7,1541.0,26.4
30.5,23.1,1.1894,957.0,750.7,966.2,1338.6,516.0,5.0
8.7,60.2,0.6293,763.2,534.9,1808.5,968.6,399.0,1.7
19.5,52.3,1.245,1214.4,1366.2,602.2,2342.6,1462.0,22.6
33.3,31.5,1.5128,982.9,832.0,768.0,1405.2,745.5,6.3
19.8,29.5,0.6717,796.6,690.9,1239.1,1025.3,534.6,4.1
19.0,71.8,1.5663,775.5,541.4,1191.0,1367.1,488.0,1.5
17.2,42.9,0.8493,1505.3,1315.0,659.3,1979.7,1535.0,20.0
14.2,77.1,1.3197,876.5,740.5,870.1,1302.5,799.0,4.4
18.2,71.0,1.394,918.0,745.7,854.5,1248.3,827.0,3.8
24.1,35.2,0.2213,1158.0,397.2,1920.6,619.2,778.8,0.1
9.7,34.6,0.4094,1016.4,956.8,806.1,1020.7,846.7,8.3
8.8,60.0,0.6376,970.0,721.7,907.9,1122.5,892.3,5.2
17.6,49.7,0.999,1228.9,941.0,811.4,1503.4,1308.1,8.4
9.8,35.9,0.4862,689.8,434.5,1739.5,788.9,283.9,0.4
14.0,69.3,1.1177,916.6,600.5,1155.0,1063.7,629.2,2.0
11.6,70.4,0.944,924.7,857.8,914.6,1512.0,740.9,6.5
16.8,58.2,1.0921,1263.5,1175.5,538.6,1660.2,1301.9,19.4
15.3,47.7,0.8552,1316.9,1319.1,572.5,1554.3,1808.8,21.6
18.1,44.3,1.0445,1034.0,817.5,948.4,1443.8,747.4,7.8
18.0,76.6,1.5785,1410.1,1305.0,538.6,1832.5,1449.4,19.9
17.5,48.7,0.9968,1086.5,783.8,937.4,1535.0,707.0,5.2
24.5,32.0,0.9749,997.6,703.6,1125.6,1294.6,587.6,3.9
9.0,51.5,0.6045,954.5,779.3,955.5,1090.7,1001.9,5.2
32.7,32.4,1.7485,941.2,867.8,754.3,1735.6,688.0,8.4
16.5,40.6,0.7513,760.5,432.6,1827.8,1154.4,304.0,0.5
22.5,49.1,1.2556,866.2,837.0,801.9,1471.1,839.5,8.1
18.0,64.2,1.3393,1221.0,1370.6,729.3,2144.0,1263.4,21.1
14.8,17.5,0.3255,705.9,727.0,1149.6,751.1,465.9,3.7
36.0,27.1,1.6226,961.6,918.8,753.6,1605.9,711.0,7.2
14.2,75.1,1.195,890.2,681.4,1096.3,1415.2,595.8,2.8
29.7,27.2,1.1434,944.7,781.4,850.0,1423.8,647.7,5.9
21.7,53.8,1.3707,810.0,659.9,1158.6,1559.6,581.4,3.6
41.0,14.5,1.02,985.2,1032.0,836.3,1636.1,871.2,11.9
11.0,62.4,0.7691,1378.0,969.6,1122.2,1583.0,1069.1,9.3
25.3,31.0,0.2256,1084.2,405.1,1781.5,583.5,730.5,0.1
11.8,50.9,0.7881,1056.3,884.0,975.8,1546.5,1004.2,8.0
21.0,52.9,1.392,1445.3,1442.4,523.2,2157.3,1770.9,25.4
20.1,65.5,1.5226,1746.9,1796.6,363.8,2291.5,1750.1,38.2
14.9,54.6,0.9141,895.0,594.1,1132.0,1279.6,677.2,2.6
29.6,34.0,1.3457,1056.4,985.0,809.1,1730.9,860.2,9.6
23.6,33.5,0.228,1118.2,369.8,1843.9,625.9,690.3,0.1
21.6,37.4,0.9371,778.6,646.9,1301.8,1267.8,440.6,2.6
12.5,61.7,0.9586,823.0,818.3,1066.0,1348.5,492.6,4.9
9.5,74.3,0.8036,1103.0,900.2,715.0,1232.7,1338.5,9.2
16.5,71.6,1.3136,1266.3,949.0,867.1,1788.7,1116.0,9.4
23.6,56.0,1.4666,1009.4,776.0,811.2,1435.1,884.9,5.4
16.6,73.9,1.4515,1124.6,952.8,618.4,1511.2,1065.9,11.3
21.0,58.3,1.3583,811.9,660.3,1103.9,1359.8,524.5,3.3
20.8,58.5,1.4098,1086.8,1010.9,725.6,1415.6,1180.1,10.3
13.2,67.8,1.0371,987.9,710.4,870.4,1250.8,812.7,4.3
23.7,33.7,0.2269,1125.1,405.2,1834.8,567.5,659.8,0.1
27.1,28.5,1.0098,1207.9,1145.5,755.0,1706.2,1357.6,13.6
21.0,46.3,1.1126,935.8,995.3,757.5,1340.4,868.6,9.4
26.7,46.9,1.4889,811.2,658.5,1076.1,1428.8,856.8,3.1
16.8,58.1,1.0484,1003.9,844.5,900.7,1430.3,994.5,7.2
26.7,52.0,1.6131,1004.9,928.1,706.2,1868.8,1018.2,9.7
15.5,76.0,1.24,904.0,839.5,867.1,1375.9,866.9,5.2
15.8,74.3,1.3253,1258.2,1042.0,750.7,1766.4,1147.6,11.1
14.4,74.4,1.288,1040.9,899.9,793.3,1306.6,702.7,6.3
31.6,22.2,1.041,1223.1,1134.3,805.0,1503.1,1116.7,17.0
21.8,35.0,0.9355,826.6,761.2,1098.2,1340.5,735.6,4.3
