number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.09755816789650076,0.03338215486449967,0.7774169224355922,rmse,0.02263249711288581,0.09296379448212864,9,13,reg:squarederror,0.4563253200523855,gpu_hist,COMPLETE
1,0.13813894528110904,0.03599788843535369,0.7645459479431662,rmse,0.007495323685920592,0.0063546608872152265,15,114,reg:squarederror,0.8760488901711679,gpu_hist,COMPLETE
2,0.1974445630379989,0.2770792790863294,0.5688979556907507,rmse,0.0022186008252907024,0.0985105602350857,9,244,reg:squarederror,0.954334906758011,gpu_hist,COMPLETE
3,0.3816317639224306,0.4397671205055252,0.3952920005412792,rmse,0.016833633885892783,0.004564347305734766,3,297,reg:squarederror,0.6365269844243417,gpu_hist,COMPLETE
4,0.3141409586611775,0.2946923350285694,0.9662702684138356,rmse,0.033094801180086834,0.02305705896151976,7,300,reg:squarederror,0.6094248260588732,gpu_hist,COMPLETE
5,0.3206665990506973,0.010347333950168527,0.41588408016156125,rmse,0.020833009242823625,0.01915559932902548,5,261,reg:squarederror,0.6208608913778657,gpu_hist,COMPLETE
6,0.3168078814550871,5.909818772845744,0.565498354147449,rmse,0.10471790702162688,0.020403131831817124,7,249,reg:squarederror,0.5464880979000388,gpu_hist,COMPLETE
7,0.24334856757182532,0.33397055871421427,0.677830628779955,rmse,0.011859144864671718,0.0027975664418173904,7,181,reg:squarederror,0.49125759591679297,gpu_hist,COMPLETE
8,0.2945104043365108,0.0014242971324093918,0.5820933098698773,rmse,0.03196914917590279,0.0013665745944642243,3,176,reg:squarederror,0.7746602448407618,gpu_hist,COMPLETE
9,0.10795764286187036,0.0015297986103953898,0.9853443417366516,rmse,0.770960720730361,0.08120240329488447,11,48,reg:squarederror,0.42461317836186396,gpu_hist,COMPLETE
10,0.09424691435708207,0.013343431086901166,0.8196227546221878,rmse,3.4187183166758177,0.045846944973926856,20,9,reg:squarederror,0.4012491451804352,gpu_hist,COMPLETE
11,0.09274260207706422,0.015584138938439991,0.8412663070865307,rmse,6.65768184367266,0.04874024343243788,20,1,reg:squarederror,0.41697207500876476,gpu_hist,COMPLETE
12,0.11136782494986143,0.008121552428155855,0.8547330593441291,rmse,8.277281527734681,0.040252152306351346,20,71,reg:squarederror,0.41256231610101735,gpu_hist,COMPLETE
13,0.091711898161204,0.007204193209737109,0.8494083323598676,rmse,6.509815213769756,0.030679032543579374,20,9,reg:squarederror,0.7447338628448541,gpu_hist,COMPLETE
14,0.1064624855724661,0.003870792601027606,0.8966454596310452,rmse,0.9248472878062736,0.010222887325185264,20,84,reg:squarederror,0.7592367583771988,gpu_hist,COMPLETE
15,0.09723359958328678,0.05652236745509324,0.7221349968228484,rmse,0.9997617319975735,0.0445987806632612,17,41,reg:squarederror,0.7405283048081475,gpu_hist,COMPLETE
